,year,gender,rank,country_code,name,time,notes
143,2016,men,72,MAR,rachid kisri,2:21:00.00,
144,2016,men,73,ISR,maru teferi,2:21:06.00,
145,2016,men,73,ISR,maru teferi,2:21:06.00,
146,2016,men,74,LTU,remigijus kancys,2:21:10.00,
147,2016,men,74,LTU,remigijus kancys,2:21:10.00,
148,2016,men,75,SUI,christian kreienbuhl,2:21:13.00,
149,2016,men,75,SUI,christian kreienbuhl,2:21:13.00,
150,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
151,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
152,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
153,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
154,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
155,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
156,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
157,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
158,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
159,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
160,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
161,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
162,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
163,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
164,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
165,2016,men,76,LBA,mohamed hrezi,2:21:17.00,
166,2016,men,77,BRA,solonei da silva,2:22:05.00,
167,2016,men,77,BRA,solonei da silva,2:22:05.00,
168,2016,men,78,COL,andres ruiz,2:22:09.00,
169,2016,men,78,COL,andres ruiz,2:22:09.00,
170,2016,men,79,UGA,jackson kiprop,2:22:09.00,
171,2016,men,79,UGA,jackson kiprop,2:22:09.00,
172,2016,men,80,AUS,scott westcott,2:22:19.00,
173,2016,men,80,AUS,scott westcott,2:22:19.00,
174,2016,men,81,SSD,guor marial,2:22:45.00,
175,2016,men,81,SSD,guor marial,2:22:45.00,
176,2016,men,82,BLR,vladislav pryamov,2:22:48.00,
177,2016,men,82,BLR,vladislav pryamov,2:22:48.00,
178,2016,men,83,IND,nitendra singh,2:22:52.00,
179,2016,men,83,IND,nitendra singh,2:22:52.00,
180,2016,men,84,ECU,miguel angel almachi,2:23:00.00,
181,2016,men,84,ECU,miguel angel almachi,2:23:00.00,
182,2016,men,85,KGZ,ilya tiapkin,2:23:19.00,
183,2016,men,85,KGZ,ilya tiapkin,2:23:19.00,
184,2016,men,86,HUN,gabor jozsa,2:23:22.00,
185,2016,men,86,HUN,gabor jozsa,2:23:22.00,
186,2016,men,87,COL,gerald giraldo,2:23:48.00,
187,2016,men,87,COL,gerald giraldo,2:23:48.00,
188,2016,men,88,ARG,luis ariel molina,2:23:55.00,
189,2016,men,88,ARG,luis ariel molina,2:23:55.00,
190,2016,men,89,XXB,yonas kinde,2:24:08.00,
191,2016,men,89,XXB,yonas kinde,2:24:08.00,
192,2016,men,90,CHN,bujie duo,2:24:22.00,
193,2016,men,90,CHN,bujie duo,2:24:22.00,
194,2016,men,91,MGL,ser-od bat-ochiryn,2:24:26.00,
195,2016,men,91,MGL,ser-od bat-ochiryn,2:24:26.00,
196,2016,men,92,ZAM,jordan chipangama,2:24:58.00,
197,2016,men,92,ZAM,jordan chipangama,2:24:58.00,
198,2016,men,93,JPN,hisanori kitajima,2:25:11.00,
199,2016,men,93,JPN,hisanori kitajima,2:25:11.00,
200,2016,men,94,LES,lebenya nkoka,2:25:13.00,
201,2016,men,94,LES,lebenya nkoka,2:25:13.00,
202,2016,men,95,CHN,renxue zhu,2:25:31.00,
203,2016,men,95,CHN,renxue zhu,2:25:31.00,
204,2016,men,96,RSA,sibusiso nzima,2:25:33.00,
205,2016,men,96,RSA,sibusiso nzima,2:25:33.00,
206,2016,men,97,CHI,daniel estrada,2:25:33.00,
207,2016,men,97,CHI,daniel estrada,2:25:33.00,
208,2016,men,98,RWA,ambroise uwiragiye,2:25:57.00,
209,2016,men,98,RWA,ambroise uwiragiye,2:25:57.00,
210,2016,men,99,TPE,chin-ping ho,2:26:00.00,
211,2016,men,99,TPE,chin-ping ho,2:26:00.00,
212,2016,men,99,TPE,chin-ping ho,2:26:00.00,
213,2016,men,99,TPE,chin-ping ho,2:26:00.00,
214,2016,men,99,TPE,chin-ping ho,2:26:00.00,
215,2016,men,99,TPE,chin-ping ho,2:26:00.00,
216,2016,men,99,TPE,chin-ping ho,2:26:00.00,
217,2016,men,99,TPE,chin-ping ho,2:26:00.00,
218,2016,men,99,TPE,chin-ping ho,2:26:00.00,
219,2016,men,99,TPE,chin-ping ho,2:26:00.00,
220,2016,men,99,TPE,chin-ping ho,2:26:00.00,
221,2016,men,99,TPE,chin-ping ho,2:26:00.00,
222,2016,men,99,TPE,chin-ping ho,2:26:00.00,
223,2016,men,99,TPE,chin-ping ho,2:26:00.00,
224,2016,men,99,TPE,chin-ping ho,2:26:00.00,
225,2016,men,99,TPE,chin-ping ho,2:26:00.00,
226,2016,men,100,KAZ,mikhail krasilov,2:26:11.00,
227,2016,men,100,KAZ,mikhail krasilov,2:26:11.00,
228,2016,men,101,MRI,david carver,2:26:16.00,
229,2016,men,101,MRI,david carver,2:26:16.00,
230,2016,men,102,IRL,mick clohissey,2:26:34.00,
231,2016,men,102,IRL,mick clohissey,2:26:34.00,
232,2016,men,103,ALG,hakim sadi,2:26:47.00,
233,2016,men,103,ALG,hakim sadi,2:26:47.00,
234,2016,men,104,MDA,roman prodius,2:27:01.00,
235,2016,men,104,MDA,roman prodius,2:27:01.00,
236,2016,men,105,VEN,luis alberto orta,2:27:05.00,
237,2016,men,105,VEN,luis alberto orta,2:27:05.00,
238,2016,men,105,VEN,luis alberto orta,2:27:05.00,
239,2016,men,105,VEN,luis alberto orta,2:27:05.00,
240,2016,men,105,VEN,luis alberto orta,2:27:05.00,
241,2016,men,105,VEN,luis alberto orta,2:27:05.00,
242,2016,men,105,VEN,luis alberto orta,2:27:05.00,
243,2016,men,105,VEN,luis alberto orta,2:27:05.00,
244,2016,men,105,VEN,luis alberto orta,2:27:05.00,
245,2016,men,105,VEN,luis alberto orta,2:27:05.00,
246,2016,men,105,VEN,luis alberto orta,2:27:05.00,
247,2016,men,105,VEN,luis alberto orta,2:27:05.00,
248,2016,men,105,VEN,luis alberto orta,2:27:05.00,
249,2016,men,105,VEN,luis alberto orta,2:27:05.00,
250,2016,men,105,VEN,luis alberto orta,2:27:05.00,
251,2016,men,105,VEN,luis alberto orta,2:27:05.00,
252,2016,men,106,MGL,gantulga dambadarjaa,2:27:42.00,
253,2016,men,106,MGL,gantulga dambadarjaa,2:27:42.00,
254,2016,men,107,CHI,enzo yanez,2:27:47.00,
255,2016,men,107,CHI,enzo yanez,2:27:47.00,
256,2016,men,108,HUN,gaspar csere,2:28:03.00,
257,2016,men,108,HUN,gaspar csere,2:28:03.00,
258,2016,men,109,URU,martin esteban cuestas,2:28:10.00,
259,2016,men,109,URU,martin esteban cuestas,2:28:10.00,
260,2016,men,110,LTU,valdas dopolskas,2:28:21.00,
261,2016,men,110,LTU,valdas dopolskas,2:28:21.00,
262,2016,men,111,TAN,fabiano joseph,2:28:31.00,
263,2016,men,111,TAN,fabiano joseph,2:28:31.00,
264,2016,men,112,COD,kamongwa salukombo makorobondo,2:28:54.00,
265,2016,men,112,COD,kamongwa salukombo makorobondo,2:28:54.00,
266,2016,men,113,GBR,derek hawkins,2:29:24.00,
267,2016,men,113,GBR,derek hawkins,2:29:24.00,
268,2016,men,114,BDI,celestin nihorimbere,2:29:38.00,
269,2016,men,114,BDI,celestin nihorimbere,2:29:38.00,
270,2016,men,115,GRE,hristoforos merousis,2:29:39.00,
271,2016,men,115,GRE,hristoforos merousis,2:29:39.00,
272,2016,men,116,SLO,anton kosmac,2:29:48.00,
273,2016,men,116,SLO,anton kosmac,2:29:48.00,
274,2016,men,117,GUA,jose amado garcia,2:30:11.00,
275,2016,men,117,GUA,jose amado garcia,2:30:11.00,
276,2016,men,118,SRB,andjelko risticevic,2:30:17.00,
277,2016,men,118,SRB,andjelko risticevic,2:30:17.00,
278,2016,men,119,MEX,ricardo ramos,2:30:20.00,
279,2016,men,119,MEX,ricardo ramos,2:30:20.00,
280,2016,men,120,ISR,tasama moogas,2:30:30.00,
281,2016,men,120,ISR,tasama moogas,2:30:30.00,
282,2016,men,121,ISR,ageze guadie,2:30:45.00,
283,2016,men,121,ISR,ageze guadie,2:30:45.00,
284,2016,men,122,POR,rui pedro silva,2:30:52.00,
285,2016,men,122,POR,rui pedro silva,2:30:52.00,
286,2016,men,123,ECU,segundo jami,2:31:07.00,
287,2016,men,123,ECU,segundo jami,2:31:07.00,
288,2016,men,124,COL,diego colorado,2:31:20.00,
289,2016,men,124,COL,diego colorado,2:31:20.00,
290,2016,men,125,TUR,bekir karayel,2:31:27.00,
291,2016,men,125,TUR,bekir karayel,2:31:27.00,
292,2016,men,126,ROU,nicolae-alexandru soare,2:31:53.00,
293,2016,men,126,ROU,nicolae-alexandru soare,2:31:53.00,
294,2016,men,127,POL,yared shegumo,2:31:54.00,
295,2016,men,127,POL,yared shegumo,2:31:54.00,
296,2016,men,128,IRI,mohammadjafar moradi,2:31:58.00,
297,2016,men,128,IRI,mohammadjafar moradi,2:31:58.00,
298,2016,men,129,MGL,byambajav tseveenravdan,2:36:14.00,
299,2016,men,129,MGL,byambajav tseveenravdan,2:36:14.00,
300,2016,men,130,KOR,myeongjun son,2:36:21.00,
301,2016,men,130,KOR,myeongjun son,2:36:21.00,
302,2016,men,130,KOR,myeongjun son,2:36:21.00,
303,2016,men,130,KOR,myeongjun son,2:36:21.00,
304,2016,men,130,KOR,myeongjun son,2:36:21.00,
305,2016,men,130,KOR,myeongjun son,2:36:21.00,
306,2016,men,130,KOR,myeongjun son,2:36:21.00,
307,2016,men,130,KOR,myeongjun son,2:36:21.00,
308,2016,men,130,KOR,myeongjun son,2:36:21.00,
309,2016,men,130,KOR,myeongjun son,2:36:21.00,
310,2016,men,130,KOR,myeongjun son,2:36:21.00,
311,2016,men,130,KOR,myeongjun son,2:36:21.00,
312,2016,men,130,KOR,myeongjun son,2:36:21.00,
313,2016,men,130,KOR,myeongjun son,2:36:21.00,
314,2016,men,130,KOR,myeongjun son,2:36:21.00,
315,2016,men,130,KOR,myeongjun son,2:36:21.00,
316,2016,men,131,GRE,mikhailis kalomoiris,2:37:03.00,
317,2016,men,131,GRE,mikhailis kalomoiris,2:37:03.00,
318,2016,men,132,THA,boonthung srisung,2:37:46.00,
319,2016,men,132,THA,boonthung srisung,2:37:46.00,
320,2016,men,133,POR,ricardo ribas,2:38:29.00,
321,2016,men,133,POR,ricardo ribas,2:38:29.00,
322,2016,men,134,PAN,jorge castelblanco,2:39:25.00,
323,2016,men,134,PAN,jorge castelblanco,2:39:25.00,
324,2016,men,135,PAR,derlys ayala,2:39:40.00,
325,2016,men,135,PAR,derlys ayala,2:39:40.00,
326,2016,men,136,ARG,federico bruno,2:40:05.00,
327,2016,men,136,ARG,federico bruno,2:40:05.00,
328,2016,men,137,KOR,jungsub shim,2:42:42.00,
329,2016,men,137,KOR,jungsub shim,2:42:42.00,
330,2016,men,137,KOR,jungsub shim,2:42:42.00,
331,2016,men,137,KOR,jungsub shim,2:42:42.00,
332,2016,men,137,KOR,jungsub shim,2:42:42.00,
333,2016,men,137,KOR,jungsub shim,2:42:42.00,
334,2016,men,137,KOR,jungsub shim,2:42:42.00,
335,2016,men,137,KOR,jungsub shim,2:42:42.00,
336,2016,men,137,KOR,jungsub shim,2:42:42.00,
337,2016,men,137,KOR,jungsub shim,2:42:42.00,
338,2016,men,137,KOR,jungsub shim,2:42:42.00,
339,2016,men,137,KOR,jungsub shim,2:42:42.00,
340,2016,men,137,KOR,jungsub shim,2:42:42.00,
341,2016,men,137,KOR,jungsub shim,2:42:42.00,
342,2016,men,137,KOR,jungsub shim,2:42:42.00,
343,2016,men,137,KOR,jungsub shim,2:42:42.00,
344,2016,men,138,CAM,kuniaki takizaki,2:45:55.00,
345,2016,men,138,CAM,kuniaki takizaki,2:45:55.00,
346,2016,men,139,JOR,methkal abu drais,2:46:18.00,
347,2016,men,139,JOR,methkal abu drais,2:46:18.00,
348,2016,men,,KEN,wesley korir,None,Did not finish
349,2016,men,,KEN,wesley korir,None,Did not finish
350,2016,men,,KEN,stanley kipleting biwott,None,Did not finish
351,2016,men,,KEN,stanley kipleting biwott,None,Did not finish
352,2016,men,,BRN,isaac korir,None,Did not finish
353,2016,men,,BRN,isaac korir,None,Did not finish
354,2016,men,,LES,tsepo mathibelle,None,Did not finish
355,2016,men,,LES,tsepo mathibelle,None,Did not finish
356,2016,men,,TUN,wissem hosni,None,Did not finish
357,2016,men,,TUN,wissem hosni,None,Did not finish
358,2016,men,,POL,henryk szost,None,Did not finish
359,2016,men,,POL,henryk szost,None,Did not finish
360,2016,men,,RSA,lungile gongqa,None,Did not finish
361,2016,men,,RSA,lungile gongqa,None,Did not finish
362,2016,men,,ALG,el hadi laameche,None,Did not finish
363,2016,men,,ALG,el hadi laameche,None,Did not finish
364,2016,men,,BRN,alemu bekele,None,Did not finish
365,2016,men,,BRN,alemu bekele,None,Did not finish
366,2016,men,,BDI,abraham niyonkuru,None,Did not finish
367,2016,men,,BDI,abraham niyonkuru,None,Did not finish
368,2016,men,,ZIM,wirimai juwawo,None,Did not finish
369,2016,men,,ZIM,wirimai juwawo,None,Did not finish
370,2016,men,,ETH,tesfaye abera,None,Did not finish
371,2016,men,,ETH,tesfaye abera,None,Did not finish
372,2016,men,,GBR,tsegai tewelde,None,Did not finish
373,2016,men,,GBR,tsegai tewelde,None,Did not finish
